listing_id,id_x,date,temp_max,temp_min,apparent_temp_max,apparent_temp_min,rain,wind_speed,wind_gust,humidity,neighbourhood_cleansed,property_type,room_type,host_is_superhost,price,sentiment_stars,weather_category,weather_sentence,weather_sentiment_score
563459,1118024515355435070,2024-03-22,23.2,15.4,23.6,16.7,2.1,15.8,47.9,85.375,Ward 115,Entire home,Entire home/apt,f,890.0,4.42,,,
1653819,1110736009639685759,2024-03-12,25.4,17.4,26.0,18.4,0.2,17.3,51.1,77.41666667,Ward 115,Entire rental unit,Entire home/apt,f,1000.0,4.7,,,
1653819,1119443755361597480,2024-03-24,21.5,15.1,20.2,14.5,0.0,20.3,65.9,68.875,Ward 115,Entire rental unit,Entire home/apt,f,1000.0,3.73,,,
606963,1112966424212853285,2024-03-15,24.2,12.2,25.9,11.7,0.0,15.3,45.0,78.41666667,Ward 64,Private room in guesthouse,Private room,t,1408.0,4.44,,,
1666477,1105001627731338153,2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333,Ward 59,Entire guest suite,Entire home/apt,t,705.0,4.78,,,
1666477,1106353677822568880,2024-03-06,24.3,14.4,25.4,13.1,0.0,14.2,40.7,67.0,Ward 59,Entire guest suite,Entire home/apt,t,705.0,4.76,,,
1666477,1122369187783048780,2024-03-28,22.4,15.7,21.2,13.8,0.0,33.1,91.8,79.33333333,Ward 59,Entire guest suite,Entire home/apt,t,705.0,4.72,,,
1684882,1111472508631228091,2024-03-13,24.0,15.5,23.0,15.7,0.0,19.9,58.0,66.125,Ward 57,Entire loft,Entire home/apt,t,3702.0,3.89,,,
653488,1105647400264980539,2024-03-05,23.0,15.1,23.4,14.8,0.2,14.5,43.2,68.54166667,Ward 115,Private room in home,Private room,f,1625.0,4.79,,,
659419,1114379476902150773,2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5,Ward 4,Entire serviced apartment,Entire home/apt,f,1777.0,4.71,,,
659419,1124494290950458499,2024-03-31,19.4,15.1,19.4,14.9,2.7,22.8,76.0,89.58333333,Ward 4,Entire serviced apartment,Entire home/apt,f,1777.0,4.93,,,
660099,1110797145073428955,2024-03-12,25.4,17.4,26.0,18.4,0.2,17.3,51.1,77.41666667,Ward 4,Entire serviced apartment,Entire home/apt,f,729.0,3.59,,,
668544,1113601225392181210,2024-03-16,22.0,16.5,20.1,12.8,0.2,35.0,94.0,70.04166667,Ward 74,Entire rental unit,Entire home/apt,f,5152.0,4.85,,,
668544,1118698402354061416,2024-03-23,20.7,14.5,20.2,14.9,0.0,16.0,45.0,72.91666667,Ward 74,Entire rental unit,Entire home/apt,f,5152.0,4.78,,,
1690757,1114336704990200398,2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5,Ward 77,Entire guest suite,Entire home/apt,t,594.0,4.7,,,
1690757,1123796232155275820,2024-03-30,33.8,15.2,34.8,15.1,0.0,17.4,46.8,58.75,Ward 77,Entire guest suite,Entire home/apt,t,594.0,4.76,,,
1723346,1102811879994089205,2024-03-01,23.4,15.8,25.7,16.2,0.0,18.0,51.5,83.0,Ward 54,Entire rental unit,Entire home/apt,t,923.0,4.81,,,
1724734,1104228972003082581,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 77,Entire loft,Entire home/apt,t,4251.0,4.68,,,
1724734,1119492536038632473,2024-03-24,21.5,15.1,20.2,14.5,0.0,20.3,65.9,68.875,Ward 77,Entire loft,Entire home/apt,t,4251.0,4.6,,,
1724734,1122333781787376624,2024-03-28,22.4,15.7,21.2,13.8,0.0,33.1,91.8,79.33333333,Ward 77,Entire loft,Entire home/apt,t,4251.0,4.78,,,
1739061,1124461404818946080,2024-03-31,19.4,15.1,19.4,14.9,2.7,22.8,76.0,89.58333333,Ward 77,Entire guest suite,Entire home/apt,t,523.0,4.53,,,
690609,1107096792547148417,2024-03-07,21.8,13.2,20.0,12.9,0.0,24.1,76.0,77.95833333,Ward 57,Entire home,Entire home/apt,f,1235.0,4.89,,,
1773094,1103515177067020952,2024-03-02,25.9,17.5,26.0,14.2,0.0,38.9,106.6,79.29166667,Ward 115,Entire villa,Entire home/apt,t,12010.0,4.81,,,
1773094,1109993051778240729,2024-03-11,30.9,15.5,34.2,15.9,0.0,25.6,66.2,71.125,Ward 115,Entire villa,Entire home/apt,t,12010.0,4.8,,,
