review_id,listing_id,date_key,sentiment_stars
1112901930041003876,4125464,2024-03-15,4.93
1120875665559428809,4467695,2024-03-26,4.62
1104258671352837888,4560984,2024-03-03,3.21
1115147114101722037,4341842,2024-03-18,4.06
1120117694692470643,4830932,2024-03-25,4.73
1106347451753060509,4646142,2024-03-06,4.86
1116569388277529006,4900705,2024-03-20,4.94
1102728111597918964,4947360,2024-03-01,4.88
1108527305925291625,5435586,2024-03-09,4.83
1114387552129542949,5439441,2024-03-17,4.3
1117973154023315673,5439441,2024-03-22,4.82
1124544599989545808,5439441,2024-03-31,4.87
1121562288719493672,811611,2024-03-27,4.78
1119430888249342789,893053,2024-03-24,4.94
1122365875983212289,218269,2024-03-28,4.6
1107854804618116393,1333749,2024-03-08,4.27
1114398426591171467,518837,2024-03-17,4.64
1104228972003082581,1724734,2024-03-03,4.68
1124546739254840712,731882,2024-03-31,4.81
1107822576191088248,1904760,2024-03-08,4.79
1114422080018795074,1904760,2024-03-17,3.74
1105666852615395281,1945481,2024-03-05,4.29
1111515359827625248,1992333,2024-03-13,4.7
1106362725464921789,2185497,2024-03-06,4.49
1111479750039549446,3259518,2024-03-13,4.56
1120168842440332158,2286781,2024-03-25,4.92
1117323308013213444,3358490,2024-03-21,4.51
1112160394397854272,2402624,2024-03-14,4.53
1103500690148580977,3973830,2024-03-02,4.9
1109329278530940959,2646412,2024-03-10,4.9
1103507625588191712,4014789,2024-03-02,4.38
1115040370831713846,4062263,2024-03-18,4.78
1116603848192599952,4458181,2024-03-20,4.79
1123849310643327327,4267384,2024-03-30,4.66
1121628607943931098,4274670,2024-03-27,4.94
1117327103586787162,4321498,2024-03-21,4.59
1115862586345806867,4543033,2024-03-19,4.69
1120135153751725069,4353509,2024-03-25,4.86
1112928324870387819,4888362,2024-03-15,4.77
1116487541418797038,5316108,2024-03-20,4.86
1120175951318334808,5323318,2024-03-25,4.95
1122403708581694069,5137968,2024-03-28,4.68
1123118183121389777,5330276,2024-03-29,4.26
1103448091529817777,36347,2024-03-02,4.91
1123833934084561414,1049961,2024-03-30,4.61
1109988779443361862,1182416,2024-03-11,3.27
1118055416056316617,400107,2024-03-22,4.67
1110727654518834282,1595157,2024-03-12,4.9
1121672475303028196,473856,2024-03-27,4.64
1106353971401615569,1595205,2024-03-06,4.91
1110030242271282275,1595205,2024-03-11,4.43
1120836411613818261,1626659,2024-03-26,4.82
1119443755361597480,1653819,2024-03-24,3.73
1104235864019591683,1992333,2024-03-03,4.4
1103455347842884241,2895692,2024-03-02,4.6
1112178373280250677,3057403,2024-03-14,4.52
1115862406629925527,2185497,2024-03-19,4.75
1122334829446782688,2224057,2024-03-28,4.68
1112888722151357039,2229515,2024-03-15,4.85
1103458218658601012,2252203,2024-03-02,3.11
1108599452926782218,3338147,2024-03-09,4.86
1110708678686853760,3589058,2024-03-12,4.29
1105654963640100140,3607015,2024-03-05,4.92
1111493363929330468,3740207,2024-03-13,4.9
1115041830805295617,2561893,2024-03-18,4.91
1113653904268805110,2594794,2024-03-16,4.93
1120198531588678603,2646412,2024-03-25,4.9
1103515519165889623,4438981,2024-03-02,4.83
1107845751275150194,4458181,2024-03-08,4.78
1107883099696952101,4248690,2024-03-08,4.51
1121583344735755764,4248690,2024-03-27,4.78
1110024368103854877,4467695,2024-03-11,4.88
1123121769347848452,4507430,2024-03-29,4.89
1118734768985465376,4543033,2024-03-23,4.2
1121658003366357056,4820554,2024-03-27,4.66
1102759631881273731,4851293,2024-03-01,4.29
1102779739043640710,4646142,2024-03-01,4.81
1107174118130281214,4646142,2024-03-07,4.79
1118007251278988145,4888362,2024-03-22,4.85
1124471583202356833,5032552,2024-03-31,4.57
1120861073669362852,4740365,2024-03-26,4.81
1124509870575750230,4740365,2024-03-31,4.83
1106398532955884148,5157425,2024-03-06,4.74
1115101249484917613,5228522,2024-03-18,4.87
1114419562997415617,282586,2024-03-17,4.94
1103441540117119384,1595205,2024-03-02,4.94
1117232336079753411,516875,2024-03-21,4.95
1124494290950458499,659419,2024-03-31,4.93
1122333781787376624,1724734,2024-03-28,4.78
1118034209319386155,1904760,2024-03-22,4.84
1120899766038601661,2015634,2024-03-26,4.74
1109287934623453409,2112960,2024-03-10,4.74
1118056326984248722,3267712,2024-03-22,4.8
1105616632141721788,2229515,2024-03-05,4.86
1106420346161752810,2286781,2024-03-06,4.18
1123016108278147611,2321768,2024-03-29,4.79
1113674896859278561,2529479,2024-03-16,4.01
1114390734589127816,3975291,2024-03-17,4.78
1120837455464618833,4014789,2024-03-26,4.77
1115124662056993288,4082106,2024-03-18,4.64
1109312223934713751,4135729,2024-03-10,4.88
1111480553551552255,4214096,2024-03-13,4.86
1116601020781353306,4467695,2024-03-20,4.87
1102745794814032311,4340008,2024-03-01,4.92
1112982324887402652,4393363,2024-03-15,4.48
1104900034474137160,4591898,2024-03-04,4.66
1120228777339432617,4820554,2024-03-25,4.63
1121638029748505326,5034922,2024-03-27,4.64
1106437454841224351,4740365,2024-03-06,4.93
1114407075579155008,4740365,2024-03-17,4.87
1110775875717627870,5273464,2024-03-12,3.74
1116583203476009494,5461009,2024-03-20,4.78
1115084586579988540,133339,2024-03-18,4.65
1120208011783204447,1558929,2024-03-25,4.69
1109358764490800532,1595157,2024-03-10,4.91
1124463538146714182,1595205,2024-03-31,4.63
1119392362355939686,1834106,2024-03-24,4.65
1108535923150196566,1852938,2024-03-09,3.0
1114372783304146061,2845124,2024-03-17,4.95
1109997266155317959,2895692,2024-03-11,4.3
1103525129541261578,2080138,2024-03-02,4.67
1116572248466687852,2080138,2024-03-20,4.57
1108586454232532794,3096547,2024-03-09,3.51
1123083714949451106,2112960,2024-03-29,4.8
1112201047787844483,3201567,2024-03-14,4.91
1107820133860961304,3277357,2024-03-08,4.69
1112155884813667041,2252203,2024-03-14,4.84
1121617071535447319,2347927,2024-03-27,4.87
1109351699167661437,2378969,2024-03-10,3.29
1106444788085612855,2442614,2024-03-06,4.88
1104975639749308323,2442838,2024-03-04,3.95
1120183226436177020,4066138,2024-03-25,1.91
1106417684358262567,4462435,2024-03-06,4.43
1104987363883395818,4248690,2024-03-04,4.54
1120183466742602072,4248690,2024-03-25,4.8
1124479881332253907,4281439,2024-03-31,4.6
1114417373949504728,4301603,2024-03-17,4.71
1107132427504049996,4341842,2024-03-07,4.8
1119458447073587435,4341842,2024-03-24,4.91
1116571311084424380,4591712,2024-03-20,4.96
1104210378071460975,4827735,2024-03-03,4.6
1110775525942838991,4851293,2024-03-12,3.68
1102782536780870045,5137968,2024-03-01,4.47
1123783374248349833,5147999,2024-03-30,4.23
1123100223200045336,5425015,2024-03-29,4.28
1105004561589394538,5273464,2024-03-04,4.86
1107091098279705565,1058642,2024-03-07,4.59
1120192888713461971,1331613,2024-03-25,4.95
1110014135981335579,357793,2024-03-11,4.4
1118031136901681355,471729,2024-03-22,4.86
1112154730106029899,563459,2024-03-14,4.5
1109993051778240729,1773094,2024-03-11,4.8
1115092145236864388,1773094,2024-03-18,4.88
1112146429594824580,1904760,2024-03-14,4.94
1124485936931495579,3015300,2024-03-31,4.77
1105706477204862013,2347927,2024-03-05,4.38
1102769786187376996,3607015,2024-03-01,4.52
1112912100170091476,3749105,2024-03-15,3.96
1106346726184312882,3911634,2024-03-06,4.94
1110082291331187038,2522313,2024-03-11,4.7
1118015148355691118,2577347,2024-03-22,4.81
1120838966390158164,2594794,2024-03-26,4.8
1120216404534667120,3973020,2024-03-25,4.82
1114355298313777070,2635024,2024-03-17,4.85
1105725828838462170,2655966,2024-03-05,4.67
1124550665415979508,4458992,2024-03-31,4.81
1110732506384413232,4462435,2024-03-12,4.18
1121673403929626879,4523176,2024-03-27,4.74
1123848190926510876,4309526,2024-03-30,4.57
1110795459172243085,4526096,2024-03-12,4.75
1118015593394254463,4526096,2024-03-22,4.78
1104279893030809329,4543033,2024-03-03,4.87
1121613290386647190,4858427,2024-03-27,4.83
1109340587378783753,4646142,2024-03-10,4.67
1122328680656263878,4740365,2024-03-28,4.82
1123120505549765964,5316070,2024-03-29,4.87
1104938380125420337,5436436,2024-03-04,4.6
1120917725819986387,900141,2024-03-26,4.78
1112907109957184070,1058642,2024-03-15,3.97
1120229699686967456,286894,2024-03-25,4.8
1110761107637849081,1194568,2024-03-12,4.46
1121561416977307019,1241945,2024-03-27,4.63
1115098256843237707,469356,2024-03-18,4.64
1105001627731338153,1666477,2024-03-04,4.78
1122369187783048780,1666477,2024-03-28,4.72
1123756941846707431,1795805,2024-03-30,4.83
